match_id,match_date,match_surface,match_level,match_type,match_result,match_month,match_year
M001,31/01/2025,CARPET,MUCH_STRONGER,COMPETITIVE,LOSE,1,2025
M002,30/01/2025,CARPET,MUCH_STRONGER,COMPETITIVE,LOSE,1,2025
M004,30/01/2025,CARPET,MUCH_STRONGER,COMPETITIVE,LOSE,1,2025
M003,31/01/2025,CARPET,MUCH_STRONGER,COMPETITIVE,LOSE,1,2025
M005,15/11/2024,HARDCOURT,SIMILAR,TRAINING,WON,11,2024
